pair,i,side,price,atr,tp_dist,tp_frac,structure_quality,spike_risk_score,spike_bucket,move_potential,wall_ratio,overall_score,reason,mfe_frac,mae_frac,bars_held,main_correct,second_correct
ETHUSDT,1123,long,1897.2,0.7864285714285708,11.3832,0.006,1.0,0.2119,low,0.15,0.18887483308734482,0.2352,TIMEOUT,0.000395,0.008929,240,False,False
ETHUSDT,1132,short,1895.92,0.7514285714285539,11.37552,0.006,0.7,0.315,low,0.15,0.4289913779765768,-0.046,TP,0.006335,0.000659,121,True,False
ETHUSDT,1150,long,1896.47,0.47214285714285,11.378820000000001,0.006,1.0,0.3671,medium,0.15,0.2531018154782202,0.1732,TIMEOUT,0.000369,0.010614,240,False,False
ETHUSDT,1159,long,1897.01,0.41500000000001236,11.382060000000001,0.006,1.0,0.0803,low,0.15,0.08258610480001463,0.2879,TIMEOUT,0.0,0.011376,240,False,False
ETHUSDT,1165,long,1896.74,0.32785714285712075,11.38044,0.006,1.0,0.1118,low,0.15,0.10632277838115542,0.2753,TIMEOUT,5e-06,0.011551,240,False,False
ETHUSDT,1168,short,1896.55,0.29357142857142143,11.3793,0.006,1.0,0.2271,low,0.15,0.484212561405358,0.2292,TP,0.006665,0.0,85,True,True
ETHUSDT,1171,short,1895.71,0.2899999999999799,11.37426,0.006,1.0,0.2069,low,0.15,0.410576160559023,0.2372,TP,0.006225,0.000153,82,True,True
ETHUSDT,1186,short,1894.49,0.2614285714285448,11.36694,0.006,1.0,0.4463,medium,0.15,0.30351176306024713,0.1415,TP,0.007115,0.000797,75,True,True
ETHUSDT,1213,short,1891.69,0.5435714285714377,11.350140000000001,0.006,1.0,0.4231,medium,0.15,0.057268016077342734,0.1508,TP,0.006042,0.000169,49,True,True
ETHUSDT,1216,short,1891.45,0.40071428571432727,11.348700000000001,0.006,1.0,0.0665,low,0.15,0.03612748596756297,0.2934,TP,0.006572,0.000296,170,True,True
ETHUSDT,1234,short,1889.57,0.43785714285715066,11.33742,0.006,1.0,0.2969,low,0.9,1.329226578886549,0.8012,TP,0.006234,0.000148,154,True,True
ETHUSDT,1276,short,1884.91,0.7742857142856597,11.309460000000001,0.006,1.0,0.0947,low,0.4,0.9204683512740732,0.4821,TIMEOUT,0.005348,0.005088,240,False,False
ETHUSDT,1282,long,1886.3,0.6307142857142155,11.3178,0.006,0.0,0.37,medium,0.15,0.17582922476099674,-0.628,TIMEOUT,0.004347,0.006081,240,False,True
ETHUSDT,1288,long,1886.36,0.4692857142856935,11.318159999999999,0.006,0.0,0.3907,medium,0.15,0.17052241707133173,-0.6363,TIMEOUT,0.004315,0.006112,240,False,True
ETHUSDT,1315,short,1884.08,1.663571428571426,11.30448,0.006,1.0,0.3026,low,0.15,0.3379191258686765,0.199,TIMEOUT,0.00491,0.005531,240,False,False
ETHUSDT,1321,short,1884.05,1.7249999999999903,11.3043,0.006,1.0,0.1778,low,0.15,0.33527064922197425,0.2489,TIMEOUT,0.004894,0.005547,240,False,False
ETHUSDT,1342,short,1882.84,0.7257142857143078,11.297039999999999,0.006,1.0,0.4593,medium,0.15,0.22837840708715978,0.1363,TIMEOUT,0.004254,0.007058,240,False,False
ETHUSDT,1348,short,1882.57,0.6807142857143,11.29542,0.006,1.0,0.5142,medium,0.15,0.2045076677095624,0.1143,TIMEOUT,0.004111,0.007601,240,False,False
ETHUSDT,1354,long,1883.21,0.5871428571428267,11.29926,0.006,0.7,0.1873,low,0.15,0.4495869641020675,0.0051,TP,0.006675,0.00445,226,True,True
ETHUSDT,1357,long,1882.88,0.4507142857142331,11.29728,0.006,0.7,0.3476,medium,0.15,0.47887633129389146,-0.059,TP,0.006171,0.004275,137,True,False
ETHUSDT,1366,short,1882.68,0.3678571428571331,11.29608,0.006,1.0,0.0725,low,0.15,0.21423361024355997,0.291,TIMEOUT,0.00417,0.007542,240,False,False
ETHUSDT,1375,short,1881.93,0.49214285714284806,11.291580000000002,0.006,1.0,0.359,medium,0.15,0.14789781412345063,0.1764,TIMEOUT,0.003773,0.007944,240,False,False
ETHUSDT,1390,short,1877.64,0.9407142857142746,11.26584,0.006,1.0,0.5067,medium,0.15,0.4553588547325462,0.1173,TIMEOUT,0.001497,0.010247,240,False,False
ETHUSDT,1393,short,1876.61,0.9614285714285741,11.25966,0.006,1.0,0.1213,low,0.15,0.36413177662557383,0.2715,TIMEOUT,0.000949,0.010801,240,False,False
ETHUSDT,1414,long,1879.73,1.1350000000000071,11.27838,0.006,0.0,0.3759,medium,0.4,0.7589742498479343,-0.4304,TP,0.00723,0.000872,79,True,False
ETHUSDT,1420,short,1878.56,0.8078571428571389,11.27136,0.006,1.0,0.0866,low,0.15,0.5367586520171439,0.2854,TIMEOUT,8e-05,0.009752,240,False,False
ETHUSDT,1435,long,1882.26,0.7442857142857194,11.29356,0.006,1.0,0.0627,low,0.15,0.5339326129227607,0.2949,TP,0.006503,0.00042,59,True,True
ETHUSDT,1444,long,1882.13,0.8107142857142955,11.29278,0.006,1.0,0.4728,medium,0.15,0.5454812721048187,0.1309,TP,0.006572,0.000351,50,True,True
ETHUSDT,1447,long,1882.55,0.7128571428571279,11.2953,0.006,1.0,0.2104,low,0.15,0.5081759669951227,0.2358,TP,0.006348,0.000574,47,True,True
ETHUSDT,1456,long,1884.0,0.5699999999999851,11.304,0.006,1.0,0.3509,medium,0.15,0.37951167728237467,0.1796,TP,0.006253,0.001343,124,True,True
ETHUSDT,1459,short,1883.07,1.1899999999999895,11.29842,0.006,1.0,0.423,medium,0.15,0.24870734138047138,0.1508,TIMEOUT,0.003038,0.007334,240,False,False
ETHUSDT,1462,long,1886.54,1.5271428571428487,11.31924,0.006,1.0,0.3885,medium,0.15,0.1546040193511225,0.1646,TIMEOUT,0.005481,0.004871,240,False,False
ETHUSDT,1477,long,1887.73,0.9128571428571247,11.32638,0.006,1.0,0.3834,medium,0.15,0.04944209888772454,0.1666,TIMEOUT,0.004847,0.0131,240,False,False
ETHUSDT,1480,long,1887.49,0.8185714285713662,11.32494,0.006,1.0,0.281,low,0.15,0.07064055085501156,0.2076,TIMEOUT,0.004975,0.012975,240,False,False
ETHUSDT,1486,long,1888.1,0.8571428571428571,11.3286,0.006,1.0,0.035,low,0.15,0.016771710537935365,0.306,TIMEOUT,0.00465,0.013294,240,False,False
ETHUSDT,1495,long,1892.7,1.282857142857178,11.356200000000001,0.006,1.0,0.3508,medium,0.15,0.46230253077613986,0.1797,TIMEOUT,0.002208,0.015692,240,False,False
ETHUSDT,1516,short,1887.36,0.994285714285752,11.32416,0.006,0.7,0.3084,low,0.15,0.6269780716627026,-0.0434,TP,0.006019,0.005044,188,True,False
ETHUSDT,1519,short,1888.47,1.2564285714285819,11.330820000000001,0.006,0.7,0.4722,medium,0.4,0.7245724493019954,0.0911,TP,0.006603,0.004453,185,True,True
ETHUSDT,1522,long,1890.99,1.5471428571428791,11.34594,0.006,1.0,0.4848,medium,0.15,0.30936176288610645,0.1261,TIMEOUT,0.003115,0.014802,240,False,False
ETHUSDT,1528,long,1892.09,1.8900000000000188,11.35254,0.006,1.0,0.4004,medium,0.15,0.2122872942971425,0.1598,TIMEOUT,0.002532,0.015375,240,False,False
