pair,i,variant,sweep,dir,atr_frac,mfe,mae,ret30,ret60,ret240,t0.6_s1.0,t0.6_s1.5,t0.6_s2.0,t1.0_s1.0,t1.0_s1.5,t1.0_s2.0,t1.6_s1.0,t1.6_s1.5,t1.6_s2.0,ts,hyp
XRPUSDT,28554,A_sweeponly,sell,-1,0.0010000208337673873,0.007656409508531394,0.011375236984103879,0.0045209275193233076,0.005760536677847468,-0.007948082251713673,-0.0024000208337673873,-0.0029000312506510806,-0.0007999874997395676,-0.0024000208337673873,-0.0029000312506510806,-0.0003999791662326127,-0.0024000208337673873,-0.0029000312506510806,0.0002000333340278198,2026-09-01 08:07:00+00:00,CONTINUATION
XRPUSDT,28564,A_sweeponly,sell,1,0.0013189861011187974,0.012334866068170143,0.006714838332968467,-0.00372235603240647,-0.005911977227939564,0.007298737318443915,-0.0006086083393287215,-0.0006086083393287215,-0.0006086083393287215,-8.101389888120255e-05,-8.101389888120255e-05,-8.101389888120255e-05,-0.0027189861011187974,-0.0033784791516781962,-0.004037972202237595,2026-09-01 08:17:00+00:00,REVERSAL
XRPUSDT,28564,A_sweeponly,sell,-1,0.0013189861011187974,0.006714838332968467,0.012334866068170143,0.00372235603240647,0.005911977227939564,-0.007298737318443915,-0.0027189861011187974,-0.0033784791516781962,-0.0006086083393287215,-0.0027189861011187974,-0.0033784791516781962,-8.101389888120255e-05,-0.0027189861011187974,-0.0033784791516781962,0.000710377761790076,2026-09-01 08:17:00+00:00,CONTINUATION
XRPUSDT,28565,C_2bar,sell,1,0.0012961459179211766,0.010785599766797787,0.008234951173298416,-0.006048680950298933,-0.006631686343098752,0.004882670164698971,-0.0026961459179211766,-0.0033442188768817646,-0.003992291835842353,-0.0026961459179211766,-0.0033442188768817646,-0.003992291835842353,-0.0026961459179211766,-0.0033442188768817646,-0.003992291835842353,2026-09-01 08:18:00+00:00,REVERSAL
XRPUSDT,28565,C_2bar,sell,-1,0.0012961459179211766,0.008234951173298416,0.010785599766797787,0.006048680950298933,0.006631686343098752,-0.004882670164698971,-0.0006223124492472941,-0.0006223124492472941,-0.0006223124492472941,-0.00010385408207882335,-0.00010385408207882335,-0.00010385408207882335,0.0006738334686738829,0.0006738334686738829,0.0006738334686738829,2026-09-01 08:18:00+00:00,CONTINUATION
XRPUSDT,28570,E_mss,sell,-1,0.0011435673033743084,0.005117333138387233,0.013963008991885458,0.003070399883032372,0.0002924190364792426,-0.007383580671101688,-0.0007138596179754149,-0.0007138596179754149,-0.0007138596179754149,-0.0002564326966256916,-0.0002564326966256916,-0.0002564326966256916,0.00042970768539889355,0.00042970768539889355,0.00042970768539889355,2026-09-01 08:23:00+00:00,CONTINUATION
XRPUSDT,28570,A_sweeponly,sell,1,0.0011435673033743084,0.013963008991885458,0.005117333138387233,-0.003070399883032372,-0.0002924190364792426,0.007383580671101688,-0.0025435673033743084,-0.0031153509550614624,-0.0036871346067486165,-0.0025435673033743084,-0.0031153509550614624,-0.0036871346067486165,-0.0025435673033743084,-0.0031153509550614624,-0.0036871346067486165,2026-09-01 08:23:00+00:00,REVERSAL
XRPUSDT,28570,A_sweeponly,sell,-1,0.0011435673033743084,0.005117333138387233,0.013963008991885458,0.003070399883032372,0.0002924190364792426,-0.007383580671101688,-0.0007138596179754149,-0.0007138596179754149,-0.0007138596179754149,-0.0002564326966256916,-0.0002564326966256916,-0.0002564326966256916,0.00042970768539889355,0.00042970768539889355,0.00042970768539889355,2026-09-01 08:23:00+00:00,CONTINUATION
XRPUSDT,28571,A_sweeponly,sell,1,0.0012226982965827195,0.014630577907827373,0.004462326261887341,-0.002560351133869831,-0.001243599122165351,0.009290416971470325,-0.0026226982965827195,-0.003234047444874079,-0.0038453965931654387,-0.0026226982965827195,-0.003234047444874079,-0.0038453965931654387,-0.0026226982965827195,-0.003234047444874079,-0.0038453965931654387,2026-09-01 08:24:00+00:00,REVERSAL
XRPUSDT,28571,A_sweeponly,sell,-1,0.0012226982965827195,0.004462326261887341,0.014630577907827373,0.002560351133869831,0.001243599122165351,-0.009290416971470325,-0.0006663810220503683,-0.0006663810220503683,-0.0006663810220503683,-0.00017730170341728052,-0.00017730170341728052,-0.00017730170341728052,0.0005563172745323512,0.0005563172745323512,0.0005563172745323512,2026-09-01 08:24:00+00:00,CONTINUATION
