pair,ts,net_frac,gross_frac,exit_type,tp_mult,hold_min,regime,ts_parsed,fold
BTCUSDT,2026-08-18 14:26:00+00:00,0.004600000000000001,0.006,TP,1.6,1197.0,TREND,2026-08-18 14:26:00+00:00,f1
ETHUSDT,2026-08-18 14:26:00+00:00,0.004600000000000001,0.006,TP,1.6,475.0,CHOP,2026-08-18 14:26:00+00:00,f1
BTCUSDT,2026-08-18 14:27:00+00:00,0.004600000000000001,0.006,TP,1.6,1203.0,TREND,2026-08-18 14:27:00+00:00,f1
BTCUSDT,2026-08-18 22:01:00+00:00,-0.028554714242977803,-0.027154714242977804,MAX_AGE,1.6,2880.0,TREND,2026-08-18 22:01:00+00:00,f1
BTCUSDT,2026-08-18 22:05:00+00:00,-0.028503875914720034,-0.027103875914720035,MAX_AGE,1.6,2880.0,TREND,2026-08-18 22:05:00+00:00,f1
BTCUSDT,2026-08-18 22:07:00+00:00,-0.028417050923664595,-0.027017050923664597,MAX_AGE,1.6,2880.0,TREND,2026-08-18 22:07:00+00:00,f1
ETHUSDT,2026-08-19 00:03:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,118.0,CHOP,2026-08-19 00:03:00+00:00,f1
ETHUSDT,2026-08-19 00:03:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,116.0,CHOP,2026-08-19 00:03:00+00:00,f1
ETHUSDT,2026-08-19 02:26:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,140.0,CHOP,2026-08-19 02:26:00+00:00,f1
BTCUSDT,2026-08-19 05:53:00+00:00,0.004600000000000001,0.006,TP,1.6,345.0,CHOP,2026-08-19 05:53:00+00:00,f1
BTCUSDT,2026-08-19 06:09:00+00:00,0.004600000000000001,0.006,TP,1.6,487.0,CHOP,2026-08-19 06:09:00+00:00,f1
NEARUSDT,2026-08-19 06:48:00+00:00,0.004600000000000001,0.006,TP,1.6,55.0,TREND,2026-08-19 06:48:00+00:00,f1
NEARUSDT,2026-08-19 06:56:00+00:00,0.004600000000000001,0.006,TP,1.6,8.0,CHOP,2026-08-19 06:56:00+00:00,f1
BTCUSDT,2026-08-19 12:38:00+00:00,0.004600000000000001,0.006,TP,1.6,341.0,CHOP,2026-08-19 12:38:00+00:00,f1
BTCUSDT,2026-08-19 12:41:00+00:00,0.004600000000000001,0.006,TP,1.6,614.0,CHOP,2026-08-19 12:41:00+00:00,f1
ETHUSDT,2026-08-19 12:47:00+00:00,0.004600000000000001,0.006,TP,1.6,9.0,CHOP,2026-08-19 12:47:00+00:00,f1
BTCUSDT,2026-08-19 13:03:00+00:00,-0.0214630918801097,-0.020063091880109702,MAX_AGE,1.6,2880.0,CHOP,2026-08-19 13:03:00+00:00,f1
XRPUSDT,2026-08-19 13:20:00+00:00,0.004600000000000001,0.006,TP,1.6,33.0,CHOP,2026-08-19 13:20:00+00:00,f1
BTCUSDT,2026-08-19 13:31:00+00:00,0.004600000000000001,0.006,TP,1.6,1380.0,TREND,2026-08-19 13:31:00+00:00,f1
BTCUSDT,2026-08-19 13:31:00+00:00,0.004600000000000001,0.006,TP,1.6,1378.0,TREND,2026-08-19 13:31:00+00:00,f1
BTCUSDT,2026-08-19 13:34:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,1385.0,TREND,2026-08-19 13:34:00+00:00,f1
NEARUSDT,2026-08-19 13:44:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,23.0,CHOP,2026-08-19 13:44:00+00:00,f1
BTCUSDT,2026-08-19 14:10:00+00:00,0.004600000000000001,0.006,TP,1.6,25.0,CHOP,2026-08-19 14:10:00+00:00,f1
NEARUSDT,2026-08-19 14:14:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,92.0,CHOP,2026-08-19 14:14:00+00:00,f1
BTCUSDT,2026-08-19 14:17:00+00:00,0.004600000000000001,0.006,TP,1.6,44.0,TREND,2026-08-19 14:17:00+00:00,f1
