pair,net_frac,exit_type,mfe_frac,tp_mult
ETHUSDT,0.0046500000000000005,TP,0.006232622207861908,1.6
SOLUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005201809913904952,1.6
BTCUSDT,0.0046500000000000005,TP,0.00831735910732666,1.6
BTCUSDT,-0.040600000000000004,MAE_KILL,0.0025017210519068856,1.6
SOLUSDT,0.0046500000000000005,TP,0.0063795493738799435,1.6
NEARUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.00583139896959745,1.6
BTCUSDT,0.0046500000000000005,TP,0.012481298793755431,1.6
BTCUSDT,0.0009,BE_RAISED,0.0032143288462788645,1.6
SOLUSDT,-0.040600000000000004,MAE_KILL,0.0010033444816052253,1.6
BTCUSDT,0.0046500000000000005,TP,0.006174846063602403,1.6
ETHUSDT,0.0009,BE_RAISED,0.003735990037359993,1.6
XRPUSDT,0.0046500000000000005,TP,0.007641837128521649,1.6
NEARUSDT,0.0046500000000000005,TP,0.006420635363742988,1.6
XRPUSDT,0.0009,BE_RAISED,0.0032824427480915804,1.6
XRPUSDT,0.0046500000000000005,TP,0.00757286009332213,1.6
BTCUSDT,0.0009,BE_RAISED,0.0030897995417794055,1.6
ETHUSDT,0.0009,BE_RAISED,0.004140927584784761,1.6
SOLUSDT,-0.040600000000000004,MAE_KILL,0.0019241848139186725,1.6
BTCUSDT,0.0009,BE_RAISED,0.0031249667839414585,1.6
XRPUSDT,0.0009,BE_RAISED,0.003065368993792631,1.6
BTCUSDT,0.0009,BE_RAISED,0.0033967895501339678,1.6
BTCUSDT,0.0009,BE_RAISED,0.0037825855224951585,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.004888401626723992,1.6
SOLUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005110581453356228,1.6
XRPUSDT,0.0009,BE_RAISED,0.0036863528146840775,1.6
BTCUSDT,0.0009,BE_RAISED,0.003025406539003717,1.6
BTCUSDT,-0.040600000000000004,MAE_KILL,0.00045880794847107386,1.6
ETHUSDT,0.0046500000000000005,TP,0.008241202642577838,1.6
BTCUSDT,0.0046500000000000005,TP,0.011000010578204784,1.6
NEARUSDT,0.0046500000000000005,TP,0.007679411605645985,1.6
ETHUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.005282332275469398,1.6
SOLUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.004759701196536019,1.6
BTCUSDT,0.0046500000000000005,TP,0.006300367838597277,1.6
BTCUSDT,0.0046500000000000005,TP,0.006247077208844268,1.6
BTCUSDT,0.0009,BE_RAISED,0.00338045241634429,1.6
BTCUSDT,0.0024000000000000002,BE_RAISED_BANKED,0.004968810834571867,1.6
BTCUSDT,0.0009,BE_RAISED,0.003285986717503287,1.6
BTCUSDT,0.0009,BE_RAISED,0.003777991662002594,1.6
