pair,ts,net_frac,exit_type,hold_min,slots_at_entry,pair_open_at_entry,regime,ts_parsed,fold
SOLUSDT,2026-08-27 13:10:00+00:00,0.0005000000000000001,BE_STOP,18.0,8,2,TREND,2026-08-27 13:10:00+00:00,fold2
SOLUSDT,2026-08-27 13:31:00+00:00,0.0005000000000000001,BE_STOP,130.0,8,2,TREND,2026-08-27 13:31:00+00:00,fold2
SOLUSDT,2026-08-27 13:57:00+00:00,0.004600000000000001,TP,271.0,4,0,TREND,2026-08-27 13:57:00+00:00,fold2
ETHUSDT,2026-08-27 14:42:00+00:00,0.004600000000000001,TP,15.0,6,1,TREND,2026-08-27 14:42:00+00:00,fold2
ETHUSDT,2026-08-27 14:42:00+00:00,0.004600000000000001,TP,12.0,7,2,TREND,2026-08-27 14:42:00+00:00,fold2
ETHUSDT,2026-08-27 14:42:00+00:00,0.004600000000000001,TP,10.0,8,3,TREND,2026-08-27 14:42:00+00:00,fold2
BTCUSDT,2026-08-27 15:13:00+00:00,0.004600000000000001,TP,339.0,8,5,TREND,2026-08-27 15:13:00+00:00,fold2
BTCUSDT,2026-08-27 15:13:00+00:00,0.004600000000000001,TP,329.0,8,5,TREND,2026-08-27 15:13:00+00:00,fold2
BTCUSDT,2026-08-27 15:22:00+00:00,0.0005000000000000001,BE_STOP,352.0,6,3,TREND,2026-08-27 15:22:00+00:00,fold2
BTCUSDT,2026-08-27 15:22:00+00:00,0.0005000000000000001,BE_STOP,350.0,7,4,TREND,2026-08-27 15:22:00+00:00,fold2
XRPUSDT,2026-08-27 15:46:00+00:00,0.0005000000000000001,BE_STOP,6.0,4,0,TREND,2026-08-27 15:46:00+00:00,fold2
XRPUSDT,2026-08-27 15:58:00+00:00,0.0005000000000000001,BE_STOP,13.0,6,1,TREND,2026-08-27 15:58:00+00:00,fold2
SOLUSDT,2026-08-27 16:18:00+00:00,0.004600000000000001,TP,35.0,5,2,TREND,2026-08-27 16:18:00+00:00,fold2
SOLUSDT,2026-08-27 16:21:00+00:00,0.0005000000000000001,BE_STOP,53.0,2,0,TREND,2026-08-27 16:21:00+00:00,fold2
XRPUSDT,2026-08-27 16:26:00+00:00,0.0005000000000000001,BE_STOP,34.0,8,1,TREND,2026-08-27 16:26:00+00:00,fold2
XRPUSDT,2026-08-27 16:36:00+00:00,0.0005000000000000001,BE_STOP,38.0,8,1,TREND,2026-08-27 16:36:00+00:00,fold2
XRPUSDT,2026-08-27 17:01:00+00:00,0.004600000000000001,TP,24.0,8,3,TREND,2026-08-27 17:01:00+00:00,fold2
XRPUSDT,2026-08-27 18:05:00+00:00,0.004600000000000001,TP,63.0,8,3,TREND,2026-08-27 18:05:00+00:00,fold2
XRPUSDT,2026-08-27 18:13:00+00:00,0.004600000000000001,TP,7.0,8,3,TREND,2026-08-27 18:13:00+00:00,fold2
SOLUSDT,2026-08-28 02:50:00+00:00,0.004600000000000001,TP,660.0,7,4,TREND,2026-08-28 02:50:00+00:00,fold2
SOLUSDT,2026-08-28 02:51:00+00:00,0.004600000000000001,TP,676.0,3,1,TREND,2026-08-28 02:51:00+00:00,fold2
SOLUSDT,2026-08-28 02:51:00+00:00,0.004600000000000001,TP,663.0,6,3,TREND,2026-08-28 02:51:00+00:00,fold2
SOLUSDT,2026-08-28 04:23:00+00:00,0.0005000000000000001,BE_STOP,61.0,8,2,TREND,2026-08-28 04:23:00+00:00,fold2
SOLUSDT,2026-08-28 04:46:00+00:00,0.0005000000000000001,BE_STOP,18.0,8,2,TREND,2026-08-28 04:46:00+00:00,fold2
NEARUSDT,2026-08-28 05:11:00+00:00,0.004600000000000001,TP,119.0,6,0,TREND,2026-08-28 05:11:00+00:00,fold2
ETHUSDT,2026-08-28 06:08:00+00:00,0.004600000000000001,TP,41.0,7,1,TREND,2026-08-28 06:08:00+00:00,fold2
ETHUSDT,2026-08-28 07:08:00+00:00,0.0005000000000000001,BE_STOP,95.0,8,2,TREND,2026-08-28 07:08:00+00:00,fold2
SOLUSDT,2026-08-28 08:52:00+00:00,0.0005000000000000001,BE_STOP,337.0,7,1,TREND,2026-08-28 08:52:00+00:00,fold2
XRPUSDT,2026-08-28 09:06:00+00:00,0.0005000000000000001,BE_STOP,117.0,8,3,TREND,2026-08-28 09:06:00+00:00,fold2
XRPUSDT,2026-08-28 09:35:00+00:00,-0.0414,MAE_KILL,1034.0,7,2,TREND,2026-08-28 09:35:00+00:00,fold2
XRPUSDT,2026-08-28 09:35:00+00:00,-0.0414,MAE_KILL,1030.0,8,3,TREND,2026-08-28 09:35:00+00:00,fold2
XRPUSDT,2026-08-28 09:35:00+00:00,-0.0414,MAE_KILL,1028.0,8,3,TREND,2026-08-28 09:35:00+00:00,fold2
SOLUSDT,2026-08-28 09:44:00+00:00,-0.0414,MAE_KILL,616.0,8,3,TREND,2026-08-28 09:44:00+00:00,fold2
BTCUSDT,2026-08-28 14:01:00+00:00,0.0005000000000000001,BE_STOP,6.0,5,3,TREND,2026-08-28 14:01:00+00:00,fold2
BTCUSDT,2026-08-28 14:06:00+00:00,0.004600000000000001,TP,23.0,3,1,TREND,2026-08-28 14:06:00+00:00,fold2
BTCUSDT,2026-08-28 14:06:00+00:00,0.004600000000000001,TP,21.0,4,2,TREND,2026-08-28 14:06:00+00:00,fold2
ETHUSDT,2026-08-28 16:03:00+00:00,-0.0414,MAE_KILL,1835.0,5,0,TREND,2026-08-28 16:03:00+00:00,fold2
BTCUSDT,2026-08-28 16:24:00+00:00,0.004600000000000001,TP,5.0,2,1,TREND,2026-08-28 16:24:00+00:00,fold2
BTCUSDT,2026-08-28 17:22:00+00:00,0.0005000000000000001,BE_STOP,43.0,6,3,TREND,2026-08-28 17:22:00+00:00,fold2
BTCUSDT,2026-08-28 17:24:00+00:00,0.0005000000000000001,BE_STOP,43.0,7,4,TREND,2026-08-28 17:24:00+00:00,fold2
ETHUSDT,2026-08-28 18:39:00+00:00,0.004600000000000001,TP,124.0,5,1,TREND,2026-08-28 18:39:00+00:00,fold2
ETHUSDT,2026-08-28 18:47:00+00:00,0.0046092291634991945,TP,137.0,4,0,TREND,2026-08-28 18:47:00+00:00,fold2
BTCUSDT,2026-08-28 18:52:00+00:00,0.0005000000000000001,BE_STOP,144.0,3,2,TREND,2026-08-28 18:52:00+00:00,fold2
BTCUSDT,2026-08-28 19:33:00+00:00,0.0005000000000000001,BE_STOP,36.0,3,2,TREND,2026-08-28 19:33:00+00:00,fold2
BTCUSDT,2026-08-28 19:56:00+00:00,0.0005000000000000001,BE_STOP,14.0,6,5,TREND,2026-08-28 19:56:00+00:00,fold2
XRPUSDT,2026-08-28 20:17:00+00:00,0.0005000000000000001,BE_STOP,16.0,8,0,TREND,2026-08-28 20:17:00+00:00,fold2
ETHUSDT,2026-08-28 20:49:00+00:00,0.0005000000000000001,BE_STOP,60.0,7,0,TREND,2026-08-28 20:49:00+00:00,fold2
BTCUSDT,2026-08-28 22:01:00+00:00,0.0005000000000000001,BE_STOP,103.0,8,6,TREND,2026-08-28 22:01:00+00:00,fold2
SOLUSDT,2026-08-29 00:14:00+00:00,0.0005000000000000001,BE_STOP,16.0,8,0,TREND,2026-08-29 00:14:00+00:00,fold2
BTCUSDT,2026-08-29 00:32:00+00:00,0.0005000000000000001,BE_STOP,321.0,6,5,TREND,2026-08-29 00:32:00+00:00,fold2
BTCUSDT,2026-08-29 00:51:00+00:00,0.0005000000000000001,BE_STOP,349.0,4,3,TREND,2026-08-29 00:51:00+00:00,fold2
BTCUSDT,2026-08-29 01:01:00+00:00,0.0005000000000000001,BE_STOP,355.0,5,4,TREND,2026-08-29 01:01:00+00:00,fold2
NEARUSDT,2026-08-29 13:56:00+00:00,0.004600000000000001,TP,14.0,5,0,TREND,2026-08-29 13:56:00+00:00,fold2
NEARUSDT,2026-08-29 14:02:00+00:00,0.004600000000000001,TP,17.0,6,1,TREND,2026-08-29 14:02:00+00:00,fold2
NEARUSDT,2026-08-29 14:11:00+00:00,0.0005000000000000001,BE_STOP,19.0,7,2,TREND,2026-08-29 14:11:00+00:00,fold2
NEARUSDT,2026-08-29 14:35:00+00:00,0.004600000000000001,TP,38.0,7,2,TREND,2026-08-29 14:35:00+00:00,fold2
NEARUSDT,2026-08-29 14:35:00+00:00,0.004600000000000001,TP,32.0,7,2,TREND,2026-08-29 14:35:00+00:00,fold2
NEARUSDT,2026-08-29 14:35:00+00:00,0.004600000000000001,TP,21.0,7,2,TREND,2026-08-29 14:35:00+00:00,fold2
NEARUSDT,2026-08-29 14:42:00+00:00,0.004600000000000001,TP,5.0,5,0,TREND,2026-08-29 14:42:00+00:00,fold2
NEARUSDT,2026-08-29 14:42:00+00:00,0.004600000000000001,TP,3.0,6,1,TREND,2026-08-29 14:42:00+00:00,fold2
SOLUSDT,2026-08-29 15:02:00+00:00,0.0005000000000000001,BE_STOP,15.0,6,1,TREND,2026-08-29 15:02:00+00:00,fold2
SOLUSDT,2026-08-29 15:02:00+00:00,0.0005000000000000001,BE_STOP,12.0,7,2,TREND,2026-08-29 15:02:00+00:00,fold2
SOLUSDT,2026-08-29 15:06:00+00:00,0.0005000000000000001,BE_STOP,23.0,5,0,TREND,2026-08-29 15:06:00+00:00,fold2
NEARUSDT,2026-08-29 15:19:00+00:00,0.004600000000000001,TP,27.0,8,0,TREND,2026-08-29 15:19:00+00:00,fold2
SOLUSDT,2026-08-29 17:47:00+00:00,0.0005000000000000001,BE_STOP,148.0,8,1,TREND,2026-08-29 17:47:00+00:00,fold2
SOLUSDT,2026-08-29 19:16:00+00:00,0.004600000000000001,TP,254.0,7,1,TREND,2026-08-29 19:16:00+00:00,fold2
BTCUSDT,2026-08-29 19:56:00+00:00,0.0005000000000000001,BE_STOP,129.0,8,4,TREND,2026-08-29 19:56:00+00:00,fold2
BTCUSDT,2026-08-30 06:09:00+00:00,-0.02357299342925006,MAX_AGE,2880.0,8,0,TREND,2026-08-30 06:09:00+00:00,fold2
BTCUSDT,2026-08-30 12:32:00+00:00,0.004600000000000001,TP,1035.0,8,5,TREND,2026-08-30 12:32:00+00:00,fold2
