pair,ts,net_frac,exit_type,mfe_frac,tp_frac,tsp,fold
ETHUSDT,2026-08-16 01:45:00+00:00,0.0005000000000000001,BE_STOP,0.003568678473752703,0.006,2026-08-16 01:45:00+00:00,f1
ETHUSDT,2026-08-16 13:47:00+00:00,-0.007918842022446564,MAX_AGE,0.0026920997843108774,0.006,2026-08-16 13:47:00+00:00,f1
SOLUSDT,2026-08-16 16:40:00+00:00,0.0010000000000000002,FLOOR40,0.0036201135097861893,0.006,2026-08-16 16:40:00+00:00,f1
BTCUSDT,2026-08-16 16:42:00+00:00,-8.787798689774995e-05,MAX_AGE,0.002820508356270477,0.006,2026-08-16 16:42:00+00:00,f1
BTCUSDT,2026-08-16 17:11:00+00:00,0.0010000000000000002,FLOOR40,0.004939180197598953,0.006,2026-08-16 17:11:00+00:00,f1
BTCUSDT,2026-08-16 17:20:00+00:00,0.0010000000000000002,FLOOR40,0.005092223175802263,0.006,2026-08-16 17:20:00+00:00,f1
BTCUSDT,2026-08-16 17:29:00+00:00,-0.0015757026920501425,MAX_AGE,0.002903051686666721,0.006,2026-08-16 17:29:00+00:00,f1
ETHUSDT,2026-08-16 17:35:00+00:00,0.0010000000000000002,FLOOR40,0.00588107050371963,0.006,2026-08-16 17:35:00+00:00,f1
SOLUSDT,2026-08-16 18:13:00+00:00,0.004600000000000001,TP,0.00601611364359156,0.006,2026-08-16 18:13:00+00:00,f1
BTCUSDT,2026-08-16 21:40:00+00:00,0.004600000000000001,TP,0.007846928716214521,0.006,2026-08-16 21:40:00+00:00,f1
BTCUSDT,2026-08-16 21:40:00+00:00,0.004600000000000001,TP,0.007330147964498652,0.006,2026-08-16 21:40:00+00:00,f1
BTCUSDT,2026-08-16 21:40:00+00:00,0.004600000000000001,TP,0.006915077275909343,0.006,2026-08-16 21:40:00+00:00,f1
BTCUSDT,2026-08-16 21:40:00+00:00,0.004600000000000001,TP,0.006321741624761991,0.006,2026-08-16 21:40:00+00:00,f1
BTCUSDT,2026-08-16 21:47:00+00:00,0.0010000000000000002,FLOOR40,0.005612587166380844,0.006,2026-08-16 21:47:00+00:00,f1
BTCUSDT,2026-08-16 21:50:00+00:00,0.0010000000000000002,FLOOR40,0.005820710694346864,0.006,2026-08-16 21:50:00+00:00,f1
SOLUSDT,2026-08-16 22:05:00+00:00,0.0010000000000000002,FLOOR40,0.004310923692621712,0.006,2026-08-16 22:05:00+00:00,f1
XRPUSDT,2026-08-16 22:47:00+00:00,0.0010000000000000002,FLOOR40,0.0037197144867799703,0.006,2026-08-16 22:47:00+00:00,f1
BTCUSDT,2026-08-16 22:49:00+00:00,0.0005000000000000001,BE_STOP,0.0030842841486246617,0.006,2026-08-16 22:49:00+00:00,f1
BTCUSDT,2026-08-16 22:49:00+00:00,0.0010000000000000002,FLOOR40,0.0037530222081632735,0.006,2026-08-16 22:49:00+00:00,f1
BTCUSDT,2026-08-16 22:49:00+00:00,0.0010000000000000002,FLOOR40,0.003692840848574495,0.006,2026-08-16 22:49:00+00:00,f1
BTCUSDT,2026-08-16 22:49:00+00:00,0.0010000000000000002,FLOOR40,0.003927190429797789,0.006,2026-08-16 22:49:00+00:00,f1
ETHUSDT,2026-08-17 01:01:00+00:00,0.004600000000000001,TP,0.008107516666043998,0.006,2026-08-17 01:01:00+00:00,f1
ETHUSDT,2026-08-17 01:01:00+00:00,0.004600000000000001,TP,0.00832278970942302,0.006,2026-08-17 01:01:00+00:00,f1
ETHUSDT,2026-08-17 01:01:00+00:00,0.004600000000000001,TP,0.008085994417194663,0.006,2026-08-17 01:01:00+00:00,f1
ETHUSDT,2026-08-17 01:01:00+00:00,0.004600000000000001,TP,0.0074085136569469355,0.006,2026-08-17 01:01:00+00:00,f1
ETHUSDT,2026-08-17 01:08:00+00:00,0.0010000000000000002,FLOOR40,0.0038700796781111118,0.006,2026-08-17 01:08:00+00:00,f1
ETHUSDT,2026-08-17 01:08:00+00:00,0.0010000000000000002,FLOOR40,0.0038381923966732136,0.006,2026-08-17 01:08:00+00:00,f1
ETHUSDT,2026-08-17 01:37:00+00:00,0.0005000000000000001,BE_STOP,0.0033703168732772066,0.006,2026-08-17 01:37:00+00:00,f1
NEARUSDT,2026-08-17 01:37:00+00:00,0.0010000000000000002,FLOOR40,0.004906832298136519,0.006,2026-08-17 01:37:00+00:00,f1
BTCUSDT,2026-08-17 01:52:00+00:00,0.0005000000000000001,BE_STOP,0.003133801420127732,0.006,2026-08-17 01:52:00+00:00,f1
BTCUSDT,2026-08-17 02:46:00+00:00,0.0010000000000000002,FLOOR40,0.00395022588570971,0.006,2026-08-17 02:46:00+00:00,f1
BTCUSDT,2026-08-17 02:52:00+00:00,0.004600000000000001,TP,0.0060164234242380005,0.006,2026-08-17 02:52:00+00:00,f1
BTCUSDT,2026-08-17 02:53:00+00:00,0.004600000000000001,TP,0.006536973617453115,0.006,2026-08-17 02:53:00+00:00,f1
BTCUSDT,2026-08-17 03:26:00+00:00,0.0010000000000000002,FLOOR40,0.004911830816475178,0.006,2026-08-17 03:26:00+00:00,f1
SOLUSDT,2026-08-17 04:31:00+00:00,0.0005000000000000001,BE_STOP,0.003251622493264557,0.006,2026-08-17 04:31:00+00:00,f1
SOLUSDT,2026-08-17 06:45:00+00:00,0.004600000000000001,TP,0.006559601900022742,0.006,2026-08-17 06:45:00+00:00,f1
ETHUSDT,2026-08-17 06:54:00+00:00,0.0010000000000000002,FLOOR40,0.005195296889131881,0.006,2026-08-17 06:54:00+00:00,f1
BTCUSDT,2026-08-17 07:04:00+00:00,0.0010000000000000002,FLOOR40,0.004462053617197032,0.006,2026-08-17 07:04:00+00:00,f1
ETHUSDT,2026-08-17 10:30:00+00:00,0.0010000000000000002,FLOOR40,0.005287358740714216,0.006,2026-08-17 10:30:00+00:00,f1
BTCUSDT,2026-08-17 10:30:00+00:00,0.0010000000000000002,FLOOR40,0.004425342798824689,0.006,2026-08-17 10:30:00+00:00,f1
NEARUSDT,2026-08-17 11:56:00+00:00,0.0010000000000000002,FLOOR40,0.005120390124961879,0.006,2026-08-17 11:56:00+00:00,f1
BTCUSDT,2026-08-17 12:19:00+00:00,0.0010000000000000002,FLOOR40,0.005209310538920857,0.006,2026-08-17 12:19:00+00:00,f1
SOLUSDT,2026-08-17 13:33:00+00:00,0.0010000000000000002,FLOOR40,0.005445773577423913,0.006,2026-08-17 13:33:00+00:00,f1
SOLUSDT,2026-08-17 15:43:00+00:00,0.004600000000000001,TP,0.006231560006879903,0.006,2026-08-17 15:43:00+00:00,f1
ETHUSDT,2026-08-17 16:10:00+00:00,0.0010000000000000002,FLOOR40,0.004965357967667456,0.006,2026-08-17 16:10:00+00:00,f1
BTCUSDT,2026-08-17 17:29:00+00:00,0.0010000000000000002,FLOOR40,0.005433195890130788,0.006,2026-08-17 17:29:00+00:00,f1
NEARUSDT,2026-08-17 17:46:00+00:00,-0.0264,MAE_KILL,0.0015732784702892021,0.006,2026-08-17 17:46:00+00:00,f1
NEARUSDT,2026-08-17 17:57:00+00:00,0.004600000000000001,TP,0.006055737502317265,0.006,2026-08-17 17:57:00+00:00,f1
BTCUSDT,2026-08-17 18:31:00+00:00,0.0010000000000000002,FLOOR40,0.004489145786798218,0.006,2026-08-17 18:31:00+00:00,f1
BTCUSDT,2026-08-17 18:33:00+00:00,0.0010000000000000002,FLOOR40,0.005364893729644207,0.006,2026-08-17 18:33:00+00:00,f1
NEARUSDT,2026-08-17 18:51:00+00:00,0.0005000000000000001,BE_STOP,0.0033477991320521212,0.006,2026-08-17 18:51:00+00:00,f1
ETHUSDT,2026-08-17 23:08:00+00:00,0.0005000000000000001,BE_STOP,0.0030390995881495837,0.006,2026-08-17 23:08:00+00:00,f1
BTCUSDT,2026-08-17 23:42:00+00:00,0.0005000000000000001,BE_STOP,0.003277108433734985,0.006,2026-08-17 23:42:00+00:00,f1
NEARUSDT,2026-08-18 01:58:00+00:00,0.0010000000000000002,FLOOR40,0.003791817014249883,0.006,2026-08-18 01:58:00+00:00,f1
ETHUSDT,2026-08-18 02:46:00+00:00,0.004600000000000001,TP,0.006389002915574695,0.006,2026-08-18 02:46:00+00:00,f1
ETHUSDT,2026-08-18 03:36:00+00:00,0.0005000000000000001,BE_STOP,0.0035733730844658656,0.006,2026-08-18 03:36:00+00:00,f1
BTCUSDT,2026-08-18 06:21:00+00:00,0.0010000000000000002,FLOOR40,0.005881914510378798,0.006,2026-08-18 06:21:00+00:00,f1
NEARUSDT,2026-08-18 06:23:00+00:00,0.0010000000000000002,FLOOR40,0.003984063745019884,0.006,2026-08-18 06:23:00+00:00,f1
NEARUSDT,2026-08-18 06:30:00+00:00,-0.0264,MAE_KILL,0.0,0.006,2026-08-18 06:30:00+00:00,f1
