pair,ts,net_frac,exit_type,variant,k,mfe_frac,hold_min
BTCUSDT,2026-08-20 07:11:00+00:00,0.0005,BE_STOP,base,1.6,0.0036101807671132737,559.0
BTCUSDT,2026-08-20 07:11:00+00:00,0.0005,BE_STOP,base,1.6,0.0038462200347622153,555.0
BTCUSDT,2026-08-20 07:13:00+00:00,0.0005,BE_STOP,base,1.6,0.00408237035676999,563.0
BTCUSDT,2026-08-20 07:13:00+00:00,0.0005,BE_STOP,base,1.6,0.003998841081924649,559.0
SOLUSDT,2026-08-20 08:07:00+00:00,0.0046,TP,base,1.6,0.007122656331831928,54.0
ETHUSDT,2026-08-20 08:07:00+00:00,0.0005,BE_STOP,base,1.6,0.005623105691345138,52.0
NEARUSDT,2026-08-20 08:09:00+00:00,0.0046,TP,base,1.6,0.00620226267731001,58.0
BTCUSDT,2026-08-20 08:09:00+00:00,0.0046,TP,base,1.6,0.008447021324776522,1.0
BTCUSDT,2026-08-20 08:10:00+00:00,-0.0414,MAE_KILL,base,1.6,0.0010415765067284376,775.0
ETHUSDT,2026-08-20 08:16:00+00:00,0.0005,BE_STOP,base,1.6,0.005909926389756152,5.0
BTCUSDT,2026-08-20 08:17:00+00:00,0.0046,TP,base,1.6,0.007632405334234577,1.0
BTCUSDT,2026-08-20 08:19:00+00:00,0.0005,BE_STOP,base,1.6,0.0039059102145724426,5.0
BTCUSDT,2026-08-20 08:31:00+00:00,0.0005,BE_STOP,base,1.6,0.0035732107589909697,7.0
